inst,rule,tp,sl,period,days,win,tp20,ge18,exp_pips
EURUSD,sell,30.0,600.0,B 2024-26,679,0.9006909732431638,18.010309278350515,0.8350515463917526,1.5264113496030582
EURUSD,sell,30.0,900.0,A 2021-23,776,0.9337927481161847,18.675257731958762,0.8814432989690721,7.226850003220197
EURUSD,sell,30.0,900.0,B 2024-26,679,0.9006909732431638,18.010309278350515,0.8350515463917526,1.8048809173772424
EURUSD,sell,30.0,1200.0,A 2021-23,776,0.9337927481161847,18.675257731958762,0.8814432989690721,7.249552392606428
EURUSD,sell,30.0,1200.0,B 2024-26,679,0.9006909732431638,18.010309278350515,0.8350515463917526,1.8420905615995298
EURUSD,sell,50.0,50.0,A 2021-23,776,0.5062793842983191,10.130154639175258,0.27963917525773196,0.6279384298319057
EURUSD,sell,50.0,50.0,B 2024-26,679,0.4931637753601882,9.863033873343152,0.3078055964653903,-0.683622463981182
EURUSD,sell,50.0,75.0,A 2021-23,776,0.6052682424164358,12.110824742268042,0.4072164948453608,0.6585303020544857
EURUSD,sell,50.0,75.0,B 2024-26,679,0.5947515436636284,11.88659793814433,0.43151693667157587,-0.6560570420464569
EURUSD,sell,50.0,100.0,A 2021-23,776,0.6846783023121015,13.699742268041238,0.5231958762886598,2.7017453468152253
EURUSD,sell,50.0,100.0,B 2024-26,679,0.662599235518965,13.245949926362297,0.5331369661266568,-0.6101146721552485
EURUSD,sell,50.0,150.0,A 2021-23,776,0.781541830360018,15.628865979381443,0.6713917525773195,6.371578540606685
EURUSD,sell,50.0,150.0,B 2024-26,679,0.7432372831520141,14.855670103092784,0.646539027982327,-1.3525433695971774
EURUSD,sell,50.0,200.0,A 2021-23,776,0.8321633283956978,16.641752577319586,0.7422680412371134,8.540439234881177
EURUSD,sell,50.0,200.0,B 2024-26,679,0.7982946192296383,15.958762886597938,0.7245949926362297,1.2897603645986486
EURUSD,sell,50.0,300.0,A 2021-23,776,0.8805306884781349,17.609536082474225,0.8234536082474226,11.728189605203838
EURUSD,sell,50.0,300.0,B 2024-26,679,0.8221846515730667,16.43740795287187,0.7584683357879234,1.2134004704498709
EURUSD,sell,50.0,450.0,A 2021-23,776,0.8921233979519546,17.841494845360824,0.8427835051546392,12.173607264764604
EURUSD,sell,50.0,450.0,B 2024-26,679,0.8291678917965304,16.577319587628867,0.7658321060382917,2.0334901499559006
EURUSD,sell,50.0,600.0,A 2021-23,776,0.8921233979519546,17.841494845360824,0.8427835051546392,13.495678495523926
EURUSD,sell,50.0,600.0,B 2024-26,679,0.8291678917965304,16.577319587628867,0.7658321060382917,0.10134519259041705
EURUSD,sell,50.0,900.0,A 2021-23,776,0.8921233979519546,17.841494845360824,0.8427835051546392,12.761917949378502
EURUSD,sell,50.0,900.0,B 2024-26,679,0.8291678917965304,16.577319587628867,0.7658321060382917,0.8803660688032947
EURUSD,sell,50.0,1200.0,A 2021-23,776,0.8921233979519546,17.841494845360824,0.8427835051546392,12.801204353706447
EURUSD,sell,50.0,1200.0,B 2024-26,679,0.8291678917965304,16.577319587628867,0.7658321060382917,0.8809320788003542
EURUSD,trend_sma50d,10.0,10.0,A 2021-23,776,0.4552714626135119,9.103092783505154,0.005154639175257732,-0.8945707477297611
EURUSD,trend_sma50d,10.0,10.0,B 2024-26,679,0.4465598353425463,8.926362297496318,0.011782032400589101,-1.0688032931490739
EURUSD,trend_sma50d,10.0,20.0,A 2021-23,776,0.6416564693759258,12.831185567010309,0.14432989690721648,-0.7503059187222259
EURUSD,trend_sma50d,10.0,20.0,B 2024-26,679,0.6299617759482505,12.597938144329897,0.15022091310751104,-1.1011467215524846
EURUSD,trend_sma50d,10.0,30.0,A 2021-23,776,0.7364590712951633,14.72680412371134,0.3170103092783505,-0.5416371481934694
EURUSD,trend_sma50d,10.0,30.0,B 2024-26,679,0.7216259923551896,14.43298969072165,0.3166421207658321,-1.134960305792414
EURUSD,trend_sma50d,10.0,50.0,A 2021-23,776,0.8195401558575385,16.38917525773196,0.4961340206185567,-0.8275906485476912
EURUSD,trend_sma50d,10.0,50.0,B 2024-26,679,0.8128491620111732,16.260677466863033,0.5257731958762887,-1.229050279329609
EURUSD,trend_sma50d,10.0,75.0,A 2021-23,776,0.8748631416242674,17.496134020618555,0.6391752577319587,-0.6366329619372706
EURUSD,trend_sma50d,10.0,75.0,B 2024-26,679,0.8704057630108791,17.410898379970543,0.6759941089837997,-1.015510144075272
EURUSD,trend_sma50d,10.0,100.0,A 2021-23,776,0.9054550138468475,18.108247422680414,0.7384020618556701,-0.39994847684678303
EURUSD,trend_sma50d,10.0,100.0,B 2024-26,679,0.8945898265216113,17.895434462444772,0.7437407952871871,-1.595119082622758
EURUSD,trend_sma50d,10.0,150.0,A 2021-23,776,0.9353384427126941,18.70618556701031,0.8247422680412371,-0.3458491659689573
EURUSD,trend_sma50d,10.0,150.0,B 2024-26,679,0.9263451925904146,18.52577319587629,0.8114874815905744,-1.7847691855336665
EURUSD,trend_sma50d,10.0,200.0,A 2021-23,776,0.9487988664906293,18.975515463917525,0.8634020618556701,-0.5796741160559026
EURUSD,trend_sma50d,10.0,200.0,B 2024-26,679,0.9424433990002941,18.848306332842416,0.8512518409425626,-2.0414657453690093
EURUSD,trend_sma50d,10.0,300.0,A 2021-23,776,0.9645778321633284,19.29123711340206,0.9020618556701031,-0.3907837959683132
EURUSD,trend_sma50d,10.0,300.0,B 2024-26,679,0.9519994119376654,19.039764359351988,0.8762886597938144,-2.480579241399587
EURUSD,trend_sma50d,10.0,450.0,A 2021-23,776,0.9694725317189412,19.38917525773196,0.9188144329896907,-0.7518709345011898
EURUSD,trend_sma50d,10.0,450.0,B 2024-26,679,0.9544251690679212,19.088365243004418,0.8807069219440353,-1.5643634225227852
EURUSD,trend_sma50d,10.0,600.0,A 2021-23,776,0.9694725317189412,19.38917525773196,0.9188144329896907,-0.5725832420944136
